image_id,ground_truth_labels,finetuned_labels,finetuned_scores,pretrained_labels,pretrained_scores
163308423,[2],[2],[     0.9341],[ 1  1 77  1 75 75  1 85  1 77],[    0.94307        0.92     0.85553      0.3846     0.25737     0.18884     0.18843     0.11147       0.106    0.054483]
168530345,[2 9],[ 2  2  2  2  2  9  5  9  5  5 10 22 22  5  1 10  2  9  2  5],[    0.95412     0.60279     0.16839     0.16025     0.13116     0.12531     0.11044     0.10734    0.087352    0.085519    0.076195    0.071782    0.065348     0.06352    0.060926     0.06081    0.059101    0.057286    0.052748    0.050255],[73 76 77 73 72 72 77  1 73 28 67 85  9],[    0.99499     0.94596     0.81664     0.52713     0.43464     0.17949     0.13852    0.073059    0.070783    0.067834    0.065345    0.062505    0.056471]
193734896,[1 4],[1 1 1 1 1 1 1 1 1 1 1 2 1 1],[    0.96131     0.91811     0.72588      0.6824     0.56726     0.46406     0.41037     0.38433     0.22504     0.16728     0.12989      0.0942    0.092087    0.070873],[ 1  1 13  1  1  1 31  3  1  1  1  1  1  1  1  3  1  1  1 77  1  1  1  1  1  1  1 84 44  1 31 75  1 32  1  1 72 43  1  1  1  1 72 33  1  1 77 15  1  3 62  1  1  1  1  1 44 15 72  1  1  1 32  1 31  1 41 41  1],"[     0.9984     0.98166     0.95624     0.95027     0.93474     0.87857     0.86538     0.86021     0.83702     0.83553     0.79907     0.76687     0.69433     0.57227     0.52973      0.3992     0.31176     0.29369      0.2831      0.2446     0.17003     0.16065     0.15911     0.14629     0.14152     0.13119
     0.13095     0.12432     0.12401     0.11344     0.10963     0.10781     0.10661       0.103    0.099074    0.097331    0.095982    0.091086    0.089549    0.089051    0.085971    0.082575    0.080104    0.078664    0.078486    0.077535    0.076046     0.07584      0.0756    0.074172      0.0741    0.072766
    0.070519    0.064705    0.062977    0.062897    0.062897    0.061507    0.060139    0.059007     0.05861    0.058138    0.055989    0.055748    0.055659    0.052227    0.051736    0.051285    0.050537]"
205205288,[1],[1],[    0.98317],[ 1 37],[    0.99254     0.29416]
207123074,[7],[ 5 10  2  5  2  5 22 10 18  9  9  7 23 22 18 22 11  2 10  2],[    0.33401     0.15067     0.13879     0.13179     0.12584     0.11068     0.10504    0.097078    0.092955    0.081298    0.077884    0.077775    0.069492    0.063466    0.062684    0.062661    0.058477    0.056756    0.056725    0.050356],[47 46 67 46 47 47 67 51 47 86 67 50 67 67 67 86],[    0.94915      0.9463     0.74464     0.66096     0.64993     0.39284     0.22469     0.22019     0.13705    0.094402    0.090211    0.085859    0.063979    0.060767    0.057712    0.053822]
214258591,[12],[2],[   0.080627],[53 87 48 53 53 52 53 53 53],[    0.16543      0.1614     0.13525     0.11951     0.10529    0.084585    0.079516    0.072171    0.062351]
224117372,[9],[ 1  2  1  2  2  9  5  5  9  2  2  1  2  5  9  9 10  2 11 22 22  7 10],[    0.97798     0.81079     0.54049      0.4402     0.40922     0.15981     0.15904      0.1353     0.12279     0.12127     0.11842    0.099646    0.091542    0.088254    0.068101    0.064243    0.063705    0.062315    0.061413    0.056775    0.052353    0.051041    0.050435],[73  1 76 72 76 77  1 27 72 73 74 10  1  1 47 31 73 72],[    0.99448     0.99003     0.92418     0.89643     0.67543     0.44257     0.16298      0.1329     0.12942    0.094224    0.078489    0.076218    0.060064    0.055434    0.055323     0.05404     0.05362    0.053462]
245200832,[ 4 15 15],[ 1  2  1  5 10  1 22],[    0.26152     0.21954     0.17637     0.11766     0.10068    0.070728     0.06037],[62  1 31 62 62 27 33 62 15 31 33  1 72  2 28 27 15 62 15 33 33],[    0.97741     0.94617      0.8263     0.51286      0.4069     0.36812     0.33737     0.25688     0.22586     0.16637      0.1405      0.1277     0.12281     0.12016      0.1045    0.087002    0.080681    0.073088    0.062839    0.055744    0.050577]
248193548,[4 2],[ 2  1  2  2  1  5  5 10 22  5 11  2  1  2 11 22 10  9  2 11  1  7 10 22  5 22],[    0.93427     0.44377      0.1976     0.15784      0.1511     0.12724     0.11853     0.10177    0.097823    0.097676    0.093777    0.087189    0.077972    0.073908     0.07086    0.066344    0.064089    0.062067    0.058301      0.0557    0.054849    0.054807     0.05436    0.053262    0.053146    0.052975],[77  1 33 40 31  1 88  1 67 13  1 13 13 18 37  1  1 73 63],[    0.99948      0.9328     0.86349      0.6956     0.68904     0.29824     0.29695      0.2836     0.26596      0.1996     0.19031     0.15843     0.13432     0.10415    0.098732    0.092409    0.070218    0.063574    0.060269]
249623348,[2 4],[ 2  1  1  2  2  1  5 22  2 10  5 10 10  5 11  9 22 11 18  7 22 11 23],[    0.81665     0.78202     0.40654     0.33363     0.32876     0.17716     0.15763     0.12503     0.11665    0.098496    0.080442    0.077925    0.071443    0.067426    0.066849    0.065948    0.065858    0.064657    0.064563    0.057563    0.053812    0.051012    0.050984],[77 31  1  1  1  1 40  1 27 31  1],[    0.99821     0.97096     0.92024     0.61797     0.48363     0.24116     0.18446     0.17703    0.082544    0.055937    0.053713]
